"Indeks","IndeksSkanu","IndeksZlecenia","IndeksDodatka","Duplicated"
806693,826673,316282,,1
806694,826674,316218,,0
806695,826677,316218,,1
806696,826679,316164,,0
806697,826680,316173,,0
806698,826681,316288,,0
806699,826683,316289,,0
806700,826684,316247,,0
806701,826685,316211,,0
806702,826688,316210,,0
806703,826690,316285,,0
806704,826691,316210,,1
806705,826693,316289,,1
806706,826694,316203,,0
806707,826695,316288,,1
806708,826696,316203,,0
806709,826697,316288,,1
806710,826698,316211,,1
806711,826699,315516,,0
806712,826699,315518,,0
806713,826700,315508,,0
806714,826703,315507,,0
806715,826704,315506,,0
806716,826706,315513,,0
806717,826707,315517,,0
806718,826708,316212,,0
806719,826711,316285,,1
806720,826713,315970,,1
806721,826714,315510,,0
806722,826715,315509,,0
806723,826716,315514,,0
806724,826717,315515,,0
806725,826718,316211,,1
